horizon_steps,horizon_label,fold_id,model,params_label,model_setting,selected_params,calibration_rmse,calibration_mae,tuning_time_seconds,final_fit_time_seconds,model_path
1,30 min,1,Persistence,,Persistence,{},0.03888772998066664,0.023772333412176744,0.015093326001078822,2.115004463121295e-06,../outputs/models/notebook_03/h01_fold01_persistence.pkl
1,30 min,1,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.033000596410361634,0.022150738124875093,0.011659630996291526,3.706998541019857e-06,../outputs/models/notebook_03/h01_fold01_rollingmean.pkl
1,30 min,1,Ridge,alpha=10.0,Ridge (alpha=10.0),"{""alpha"": 10.0}",0.0333055522644769,0.02317189466347697,0.07125073501083534,0.011683199001709,../outputs/models/notebook_03/h01_fold01_ridge.pkl
1,30 min,1,RandomForest,"max_depth=6, min_samples_leaf=3","RandomForest (max_depth=6, min_samples_leaf=3)","{""max_depth"": 6, ""min_samples_leaf"": 3}",0.03356158493695176,0.022811360895765128,19.206113051011926,1.7193479489942547,../outputs/models/notebook_03/h01_fold01_randomforest.pkl
1,30 min,2,Persistence,,Persistence,{},0.023430733354413254,0.014692040524036708,0.01248712399683427,4.664994776248932e-06,../outputs/models/notebook_03/h01_fold02_persistence.pkl
1,30 min,2,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.02328260741536005,0.01576367943245029,0.011399696988519281,3.116001607850194e-06,../outputs/models/notebook_03/h01_fold02_rollingmean.pkl
1,30 min,2,Ridge,alpha=0.1,Ridge (alpha=0.1),"{""alpha"": 0.1}",0.023456787072944744,0.017394684053497273,0.05509163199167233,0.007462699999450706,../outputs/models/notebook_03/h01_fold02_ridge.pkl
1,30 min,2,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)","{""max_depth"": 6, ""min_samples_leaf"": 5}",0.0252182450399921,0.01839102153188937,19.23271463099809,1.5846897139999783,../outputs/models/notebook_03/h01_fold02_randomforest.pkl
1,30 min,3,Persistence,,Persistence,{},0.029976668320933517,0.016827280251237076,0.009962864001863636,2.8229987947270274e-06,../outputs/models/notebook_03/h01_fold03_persistence.pkl
1,30 min,3,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.028879910181759214,0.017615374207529264,0.010514882989809848,2.739005140028894e-06,../outputs/models/notebook_03/h01_fold03_rollingmean.pkl
1,30 min,3,Ridge,alpha=0.1,Ridge (alpha=0.1),"{""alpha"": 0.1}",0.02892864190129487,0.019318110668364336,0.0518808039923897,0.00776427099481225,../outputs/models/notebook_03/h01_fold03_ridge.pkl
1,30 min,3,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)","{""max_depth"": 6, ""min_samples_leaf"": 5}",0.030331909896614075,0.020012132430809244,19.8188128079928,1.5440553649968933,../outputs/models/notebook_03/h01_fold03_randomforest.pkl
1,30 min,4,Persistence,,Persistence,{},0.040169641816240775,0.02207959369925442,0.009453855993342586,4.650995833799243e-06,../outputs/models/notebook_03/h01_fold04_persistence.pkl
1,30 min,4,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.0356826869355975,0.021995530528047428,0.012106887996196747,1.968001015484333e-06,../outputs/models/notebook_03/h01_fold04_rollingmean.pkl
1,30 min,4,Ridge,alpha=0.1,Ridge (alpha=0.1),"{""alpha"": 0.1}",0.03594568044918041,0.023978680569382835,0.053857906998018734,0.007015561001026072,../outputs/models/notebook_03/h01_fold04_ridge.pkl
1,30 min,4,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)","{""max_depth"": 6, ""min_samples_leaf"": 5}",0.03733163448974233,0.025004716952080865,20.857566694001434,1.5277549169986742,../outputs/models/notebook_03/h01_fold04_randomforest.pkl
1,30 min,5,Persistence,,Persistence,{},0.03987786515133142,0.021658503505408298,0.007852454989915714,3.426990588195622e-06,../outputs/models/notebook_03/h01_fold05_persistence.pkl
1,30 min,5,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.03558742388960985,0.02178238973164209,0.01449161599157378,2.6970083126798272e-06,../outputs/models/notebook_03/h01_fold05_rollingmean.pkl
1,30 min,5,Ridge,alpha=0.1,Ridge (alpha=0.1),"{""alpha"": 0.1}",0.03576108145225823,0.023449596408650283,0.054010214007575996,0.008124261992634274,../outputs/models/notebook_03/h01_fold05_ridge.pkl
1,30 min,5,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)","{""max_depth"": 6, ""min_samples_leaf"": 5}",0.036170143747346326,0.023026809708753326,21.931442999994033,1.7777755410061218,../outputs/models/notebook_03/h01_fold05_randomforest.pkl
2,1 h,1,Persistence,,Persistence,{},0.04046428225215589,0.025799990986992056,0.006823618998168968,3.312001354061067e-06,../outputs/models/notebook_03/h02_fold01_persistence.pkl
2,1 h,1,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.03355376239270147,0.02297356375418875,0.011547820002306253,3.1560048228129745e-06,../outputs/models/notebook_03/h02_fold01_rollingmean.pkl
2,1 h,1,Ridge,alpha=10.0,Ridge (alpha=10.0),"{""alpha"": 10.0}",0.03387334181302512,0.02466999964814683,0.05274935300985817,0.006829676989582367,../outputs/models/notebook_03/h02_fold01_ridge.pkl
2,1 h,1,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)","{""max_depth"": 6, ""min_samples_leaf"": 5}",0.033495825790795644,0.02333871134691856,18.031684745001257,1.3570920739875874,../outputs/models/notebook_03/h02_fold01_randomforest.pkl
2,1 h,2,Persistence,,Persistence,{},0.026262287034170682,0.017196679220864444,0.0056568500003777444,3.0070077627897263e-06,../outputs/models/notebook_03/h02_fold02_persistence.pkl
2,1 h,2,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.024563897356151537,0.01686203069717431,0.00999396899715066,2.5320041459053755e-06,../outputs/models/notebook_03/h02_fold02_rollingmean.pkl
2,1 h,2,Ridge,alpha=0.1,Ridge (alpha=0.1),"{""alpha"": 0.1}",0.025132035893450234,0.01914529952286369,0.051267242000903934,0.0070896999968681484,../outputs/models/notebook_03/h02_fold02_ridge.pkl
2,1 h,2,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)","{""max_depth"": 6, ""min_samples_leaf"": 5}",0.02627184503740041,0.01928178687369828,19.349144658001023,1.5013134729961166,../outputs/models/notebook_03/h02_fold02_randomforest.pkl
2,1 h,3,Persistence,,Persistence,{},0.03294881962900046,0.019111755790601887,0.007727149000857025,3.8869911804795265e-06,../outputs/models/notebook_03/h02_fold03_persistence.pkl
2,1 h,3,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.030885242447803322,0.019050506280003574,0.010732837996329181,3.125998773612082e-06,../outputs/models/notebook_03/h02_fold03_rollingmean.pkl
2,1 h,3,Ridge,alpha=0.1,Ridge (alpha=0.1),"{""alpha"": 0.1}",0.030900947284077822,0.02096165513103097,0.05182878799678292,0.0070260909997159615,../outputs/models/notebook_03/h02_fold03_ridge.pkl
2,1 h,3,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)","{""max_depth"": 6, ""min_samples_leaf"": 5}",0.033054530134412244,0.021570067839115793,20.574045223998837,1.4388285619934322,../outputs/models/notebook_03/h02_fold03_randomforest.pkl
2,1 h,4,Persistence,,Persistence,{},0.04162544873762069,0.023794120730919237,0.005793296004412696,3.822991857305169e-06,../outputs/models/notebook_03/h02_fold04_persistence.pkl
2,1 h,4,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.03885101932353606,0.024311838061716502,0.011580632999539375,2.8930080588907003e-06,../outputs/models/notebook_03/h02_fold04_rollingmean.pkl
2,1 h,4,Ridge,alpha=10.0,Ridge (alpha=10.0),"{""alpha"": 10.0}",0.03803750697267305,0.02568113696006742,0.05465676300809719,0.007527345995185897,../outputs/models/notebook_03/h02_fold04_ridge.pkl
2,1 h,4,RandomForest,"max_depth=6, min_samples_leaf=5","RandomForest (max_depth=6, min_samples_leaf=5)","{""max_depth"": 6, ""min_samples_leaf"": 5}",0.04015848718934092,0.027013271716702255,21.7232831089932,1.613390263999463,../outputs/models/notebook_03/h02_fold04_randomforest.pkl
2,1 h,5,Persistence,,Persistence,{},0.04165368258102169,0.02356514508431526,0.006713780996506102,3.631997969932854e-06,../outputs/models/notebook_03/h02_fold05_persistence.pkl
2,1 h,5,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.03861566922905457,0.024079333479438848,0.014552570006344467,2.9039947548881173e-06,../outputs/models/notebook_03/h02_fold05_rollingmean.pkl
2,1 h,5,Ridge,alpha=10.0,Ridge (alpha=10.0),"{""alpha"": 10.0}",0.03780452735960415,0.025116322413192005,0.052688607000163756,0.007255703996634111,../outputs/models/notebook_03/h02_fold05_ridge.pkl
2,1 h,5,RandomForest,"max_depth=6, min_samples_leaf=3","RandomForest (max_depth=6, min_samples_leaf=3)","{""max_depth"": 6, ""min_samples_leaf"": 3}",0.03882853051237562,0.02490100273601308,22.6802974500024,1.593495366993011,../outputs/models/notebook_03/h02_fold05_randomforest.pkl
4,2 h,1,Persistence,,Persistence,{},0.04160299712438402,0.028056212658041927,0.00691236300917808,2.5899935280904174e-06,../outputs/models/notebook_03/h04_fold01_persistence.pkl
4,2 h,1,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.038214787949915285,0.026442345778478503,0.009864334992016666,2.3170141503214836e-06,../outputs/models/notebook_03/h04_fold01_rollingmean.pkl
4,2 h,1,Ridge,alpha=10.0,Ridge (alpha=10.0),"{""alpha"": 10.0}",0.03817256847222511,0.027777304601053005,0.05143710300035309,0.007719665998592973,../outputs/models/notebook_03/h04_fold01_ridge.pkl
4,2 h,1,RandomForest,"max_depth=6, min_samples_leaf=3","RandomForest (max_depth=6, min_samples_leaf=3)","{""max_depth"": 6, ""min_samples_leaf"": 3}",0.03901704108287429,0.027473667024242688,18.178563526002108,1.373027762005222,../outputs/models/notebook_03/h04_fold01_randomforest.pkl
4,2 h,2,Persistence,,Persistence,{},0.02890100722272914,0.019513781991694217,0.008023907997994684,3.754001227207482e-06,../outputs/models/notebook_03/h04_fold02_persistence.pkl
4,2 h,2,RollingMean,feature=power_roll_mean_3,RollingMean (feature=power_roll_mean_3),"{""feature"": ""power_roll_mean_3""}",0.02906192173574795,0.020322094314768994,0.012595727006555535,3.312001354061067e-06,../outputs/models/notebook_03/h04_fold02_rollingmean.pkl
4,2 h,2,Ridge,alpha=0.1,Ridge (alpha=0.1),"{""alpha"": 0.1}",0.029449465313452935,0.022340373353036447,0.05020034100743942,0.007980680995387957,../outputs/models/notebook_03/h04_fold02_ridge.pkl
4,2 h,2,RandomForest,"max_depth=12, min_samples_leaf=3","RandomForest (max_depth=12, min_samples_leaf=3)","{""max_depth"": 12, ""min_samples_leaf"": 3}",0.03150076555569957,0.02351382218391695,19.213199331003125,2.306650354003068,../outputs/models/notebook_03/h04_fold02_randomforest.pkl
