horizon_steps,horizon_label,model,split,n_rows,first_target_time,last_target_time
1,30 min,Persistence,calibration,3281,2025-04-18 16:00:00,2025-06-13 12:00:00
1,30 min,Persistence,test,3289,2025-05-08 03:00:00,2025-06-30 23:30:00
1,30 min,RandomForest,calibration,3281,2025-04-18 16:00:00,2025-06-13 12:00:00
1,30 min,RandomForest,test,3289,2025-05-08 03:00:00,2025-06-30 23:30:00
1,30 min,Ridge,calibration,3281,2025-04-18 16:00:00,2025-06-13 12:00:00
1,30 min,Ridge,test,3289,2025-05-08 03:00:00,2025-06-30 23:30:00
1,30 min,RollingMean,calibration,3281,2025-04-18 16:00:00,2025-06-13 12:00:00
1,30 min,RollingMean,test,3289,2025-05-08 03:00:00,2025-06-30 23:30:00
2,1 h,Persistence,calibration,3250,2025-04-18 15:30:00,2025-06-13 13:30:00
2,1 h,Persistence,test,3258,2025-05-08 03:30:00,2025-06-30 23:30:00
2,1 h,RandomForest,calibration,3250,2025-04-18 15:30:00,2025-06-13 13:30:00
2,1 h,RandomForest,test,3258,2025-05-08 03:30:00,2025-06-30 23:30:00
2,1 h,Ridge,calibration,3250,2025-04-18 15:30:00,2025-06-13 13:30:00
2,1 h,Ridge,test,3258,2025-05-08 03:30:00,2025-06-30 23:30:00
2,1 h,RollingMean,calibration,3250,2025-04-18 15:30:00,2025-06-13 13:30:00
2,1 h,RollingMean,test,3258,2025-05-08 03:30:00,2025-06-30 23:30:00
4,2 h,Persistence,calibration,3189,2025-04-18 13:30:00,2025-06-13 16:30:00
4,2 h,Persistence,test,3195,2025-05-08 03:00:00,2025-06-30 23:30:00
4,2 h,RandomForest,calibration,3189,2025-04-18 13:30:00,2025-06-13 16:30:00
4,2 h,RandomForest,test,3195,2025-05-08 03:00:00,2025-06-30 23:30:00
4,2 h,Ridge,calibration,3189,2025-04-18 13:30:00,2025-06-13 16:30:00
4,2 h,Ridge,test,3195,2025-05-08 03:00:00,2025-06-30 23:30:00
4,2 h,RollingMean,calibration,3189,2025-04-18 13:30:00,2025-06-13 16:30:00
4,2 h,RollingMean,test,3195,2025-05-08 03:00:00,2025-06-30 23:30:00
8,4 h,Persistence,calibration,3065,2025-04-18 11:00:00,2025-06-14 15:00:00
8,4 h,Persistence,test,3072,2025-05-08 03:30:00,2025-06-30 23:30:00
8,4 h,RandomForest,calibration,3065,2025-04-18 11:00:00,2025-06-14 15:00:00
8,4 h,RandomForest,test,3072,2025-05-08 03:30:00,2025-06-30 23:30:00
8,4 h,Ridge,calibration,3065,2025-04-18 11:00:00,2025-06-14 15:00:00
8,4 h,Ridge,test,3072,2025-05-08 03:30:00,2025-06-30 23:30:00
8,4 h,RollingMean,calibration,3065,2025-04-18 11:00:00,2025-06-14 15:00:00
8,4 h,RollingMean,test,3072,2025-05-08 03:30:00,2025-06-30 23:30:00
