scenario,scenario_name,smoothing_window_min,smoothing_window_label,horizon_steps,horizon_hours,horizon_label,fold_id,n_samples,mean_p_wec_kw,mean_p_grid_kw,raw_energy_kwh,grid_energy_kwh,grid_to_raw_energy_ratio,charge_energy_kwh,discharge_energy_kwh,net_balancing_energy_kwh,raw_ramp_p95_kw_per_step,grid_ramp_p95_kw_per_step,ramp_p95_reduction_percent,raw_ramp_max_kw_per_step,grid_ramp_max_kw_per_step,ramp_max_reduction_percent,max_charge_power_kw,max_discharge_power_kw,storage_power_rating_kw,p95_abs_storage_power_kw,required_energy_kwh,required_energy_hours_at_mean_power,required_energy_hours_at_rated_power,throughput_kwh,equivalent_full_cycles,soc_min,soc_max,mean_storage_envelope_width_kw,possible_discharge_from_lower_bound_kw,possible_charge_from_upper_bound_kw
A,No smoothing,0,No smoothing,1,0.5,30 min,3.0,657.8,19.91957827158587,19.91957827158587,6398.973852230895,6398.973852230895,1.0,0.0,0.0,0.0,17.97120793491076,17.97120793491076,0.0,48.007921536505776,48.007921536505776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.575888616682743,53.35095599042688,43.070795017918435
A,No smoothing,0,No smoothing,2,1.0,1 h,3.0,651.6,19.840672402427973,19.840672402427973,6309.826825199026,6309.826825199026,1.0,0.0,0.0,0.0,17.833002999841593,17.833002999841593,0.0,45.10372687767152,45.10372687767152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.023372770859083,57.10691231886064,48.38341951240504
A,No smoothing,0,No smoothing,4,2.0,2 h,3.0,639.0,19.543616213116305,19.543616213116305,6092.686690645037,6092.686690645037,1.0,0.0,0.0,0.0,17.326274407944833,17.326274407944833,0.0,39.91158133156652,39.91158133156652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.00090971070489,56.414061395797056,46.15063356287667
A,No smoothing,0,No smoothing,8,4.0,4 h,3.0,614.4,19.07999212763017,19.07999212763017,5712.500683711126,5712.500683711126,1.0,0.0,0.0,0.0,16.754679431083623,16.754679431083623,0.0,39.91158133156652,39.91158133156652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5719382129285,65.24862725925264,56.595918258079486
B,Observed-power smoothing,30,30 min,1,0.5,30 min,3.0,657.8,19.91957827158587,19.91957827158587,6398.973852230895,6398.973852230895,1.0,0.0,0.0,0.0,17.97120793491076,17.97120793491076,0.0,48.007921536505776,48.007921536505776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.575888616682743,53.35095599042688,43.070795017918435
B,Observed-power smoothing,30,30 min,2,1.0,1 h,3.0,651.6,19.840672402427973,19.840672402427973,6309.826825199026,6309.826825199026,1.0,0.0,0.0,0.0,17.833002999841593,17.833002999841593,0.0,45.10372687767152,45.10372687767152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.023372770859083,57.10691231886064,48.38341951240504
B,Observed-power smoothing,30,30 min,4,2.0,2 h,3.0,639.0,19.543616213116305,19.543616213116305,6092.686690645037,6092.686690645037,1.0,0.0,0.0,0.0,17.326274407944833,17.326274407944833,0.0,39.91158133156652,39.91158133156652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.00090971070489,56.414061395797056,46.15063356287667
B,Observed-power smoothing,30,30 min,8,4.0,4 h,3.0,614.4,19.07999212763017,19.07999212763017,5712.500683711126,5712.500683711126,1.0,0.0,0.0,0.0,16.754679431083623,16.754679431083623,0.0,39.91158133156652,39.91158133156652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5719382129285,65.24862725925264,56.595918258079486
B,Observed-power smoothing,60,1 h,1,0.5,30 min,3.0,657.8,19.91957827158587,19.914367229849073,6398.973852230895,6397.63940514633,0.9999404495793931,323.14277394977705,321.8083268652116,1.334447084565484,17.97120793491076,9.729293848500994,45.956057480497265,48.007921536505776,23.167229883965284,50.41947430905334,22.76297905265277,21.822854505119526,24.00396076825289,8.942005798024075,20.276343381349594,1.0574756839931414,0.08110537352539837,644.9511008149886,15.606299309356306,0.0,1.0,22.575888616682743,42.89704887466699,35.135027571192474
B,Observed-power smoothing,60,1 h,2,1.0,1 h,3.0,651.6,19.840672402427973,19.849050776380896,6309.826825199026,6312.873553084889,1.000621710326742,314.67180094676223,317.71852883262545,-3.046727885863184,17.833002999841593,9.563922123159207,46.61086441281079,45.10372687767152,23.370258314638555,42.92124605556339,21.116590731001235,21.822854505119526,22.551863438835763,8.845191386633363,20.276343381349594,1.064684506038329,0.08110537352539837,632.3903297793877,15.274600545466058,0.0,1.0,24.023372770859083,47.47044858767912,36.63919845560406
